1/30 金币 900

1/7850 绿色项链
1/1400 狂风项链
1/7820 灵魂项链
1/7820 恶魔铃铛

1/4000 黑铁头盔
1/9080 力量戒指
1/8900 紫碧螺
1/8900 泰坦戒指

1/4500 骑士手镯
1/7800 龙之手镯
1/2300 心灵手镯
1/3000 阎罗手套

1/32820 裁决之杖
1/5700  井中月
1/15750 骨玉权杖
1/5650  无极棍
1/20780 龙纹剑

1/3300 冰咆哮
1/3500 召唤神兽
1/3200 烈火剑法

1/200 放大镜
1/200 竹笛
1/200 道士头盔
1/200 凝霜
1/300 珊瑚戒指
1/300 降妖除魔戒指
1/200 骷髅头盔

1/100 死神手套
1/100 重盔甲(男)
1/100 重盔甲(女)
1/100 灵魂战衣(女)
1/100 灵魂战衣(男)
1/100 魔法长袍(男)
1/100 魔法长袍(女)
1/100 修罗
1/100 金戒指
1/100 蓝翡翠项链
1/100 金手镯
1/100 道德戒指
1/100 魅力戒指
1/100 道士手镯
1/100 黑檀手镯
1/100 降魔
1/100 黑色水晶戒指
1/100 蛇眼戒指
1/100 珍珠戒指
1/100 破魂
1/100 斩马刀
1/100 偃月
1/100 生铁戒指
1/100 降魔
1/100 骷髅戒指
1/100 小手镯
