;物品类别	物品名称	Item.wil序号	出售价格	Deco.wil序号1	Deco.wil序号2	描述
0	10点声望卷	265	3000000	100	100	增加10点声望值
0	比奇传送石	999	5000	100	100	双击传回比奇
0	超级护身符	270	10000	100	100	方便玩家使用|可使用600次
0	超级黄色药粉	250	10000	100	100	方便玩家使用|可使用600次
0	超级灰色药粉	251	10000	100	100	方便玩家使用|可使用600次
0	反璞归真	1013	100000	100	100	可以改变自己的发型
0	盟重传送石	1010	5000	100	100	双击传回盟重
0	骰子	360	50000	100	100	赌博专用
0	雪霜包	461	50000	100	100	6根万年雪霜
1	魔血石(大)	1027	200000	100	100	增加20万HP/MP
1	气血石(大)	992	200000	100	100	增加15万HP/MP
1	千里传音(大)	1000	300000	100	100	@传|可使用10次
1	双倍卷轴	989	1000000	100	100	2小时双倍经验
1	四倍卷轴	989	2000000	100	100	2小时四倍经验
1	太阳水捆药绳	1006	100000	100	100	捆绑强效太阳水
1	万年雪霜捆药绳	1006	100000	100	100	捆绑万年雪霜
1	祝福罐(满)	1174	500000	100	100	50个祝福油
3	长空火舞包	1015	200000	100	100	(内含6个礼花)
3	飞火流星包	1015	200000	100	100	(内含6个礼花)
3	浪漫星雨包	1015	200000	100	100	(内含6个礼花)
3	绮梦幻想包	1015	200000	100	100	(内含6个礼花)
3	庆典烟花	1001	500000	100	100	特殊物品
3	如雾似梦包	1015	200000	100	100	(内含6个礼花)
3	心心相印包	1015	200000	100	100	(内含6个礼花)
3	一心一意包	1015	200000	100	100	(内含6个礼花)
5	超级祝福油	26	8000000	100	100	提升武器幸运|最高+7点
5	个性发型	1013	800000	100	100	可以改变自己的发型
5	火龙之心	1148	100000	100	100	合击必须品
5	随机传送石	1025	5000	100	100	双击地图内随机
5	修复神水	120	100000	100	100	修复全部装备
