1/1    金币 3500
1/17    太阳水
1/17    太阳水
1/17    太阳水
1/17    太阳水
1/17    金创药(中量)
1/17    金创药(中量)
1/17    金创药(中量)
1/17    金创药(中量)
1/17    魔法药(中量)
1/17    魔法药(中量)
1/17    魔法药(中量)
1/17   魔法药(中量)
1/57   重盔甲(男)
1/57   重盔甲(女)
1/57   灵魂战衣(女)
1/57   灵魂战衣(男)
1/57   魔法长袍(男)
1/57   魔法长袍(女)
1/70   金戒指
1/70   蓝翡翠项链
1/70   金手镯
1/70   道德戒指
1/70   魅力戒指
1/3   道士手镯
1/3   黑檀手镯
1/3   降魔
1/3   黑色水晶戒指
1/3   蛇眼戒指
1/3   珍珠戒指
1/3   破魂
1/3   斩马刀
1/3   偃月
1/3   生铁戒指
1/3   白色虎齿项链
1/3   白金项链
1/3   骷髅戒指
1/3   小手镯
1/175  狂风戒指
1/175  夏普儿手镯
1/175  辟邪手镯
1/175  躲避手链
