1	114.103.162.242	46275171	上官震雄	7275	2015-09-21 09:49:38	2015-09-21 11:50:53	5
1	101.69.179.132	caopeng000	小迷糊	89	2015-09-21 11:50:27	2015-09-21 11:51:57	5
1	123.119.62.81	hahaying1	毒死你	46009	2015-09-20 23:05:38	2015-09-21 11:52:28	5
1	119.191.143.175	2431737	萌小希	210	2015-09-21 11:49:04	2015-09-21 11:52:34	5
1	27.213.233.63	6786	一日二天	5240	2015-09-21 10:25:46	2015-09-21 11:53:06	5
1	175.174.96.85	mwwwwwwwww	青衫水墨	598	2015-09-21 11:43:25	2015-09-21 11:53:24	5
1	119.191.143.175	2431737	萌小希	55	2015-09-21 11:52:40	2015-09-21 11:53:35	5
1	175.174.96.85	mwwwwwwwww	青衫水墨	41	2015-09-21 11:53:30	2015-09-21 11:54:12	5
1	101.69.179.132	caopeng000	小迷糊	165	2015-09-21 11:52:21	2015-09-21 11:55:07	5
1	119.191.143.175	2431737	萌小希	85	2015-09-21 11:54:04	2015-09-21 11:55:29	5
1	118.186.239.50	15821850	台风大魔王	2623	2015-09-21 11:12:40	2015-09-21 11:56:23	5
1	101.69.179.132	caopeng000	小迷糊	97	2015-09-21 11:55:13	2015-09-21 11:56:50	5
1	175.174.96.85	mwwwwwwwww	青衫水墨	109	2015-09-21 11:55:08	2015-09-21 11:56:57	5
1	101.69.179.132	caopeng000	小迷糊	28	2015-09-21 11:56:56	2015-09-21 11:57:25	5
1	61.189.39.142	douhun10	卡牌大师	629	2015-09-21 11:47:04	2015-09-21 11:57:34	5
