1	112.101.123.173	caopeng000	小迷糊	112	2015-09-24 20:18:29	2015-09-24 20:20:21	5
1	222.88.94.251	susu8	小伙	252	2015-09-24 20:16:09	2015-09-24 20:20:22	5
1	222.88.94.250	2431737	萌小希	652	2015-09-24 20:09:30	2015-09-24 20:20:23	5
1	114.254.255.191	hahaying	鹰哥	4635	2015-09-24 19:03:11	2015-09-24 20:20:27	5
1	222.88.94.250	2431737	萌小希	22	2015-09-24 20:20:29	2015-09-24 20:20:52	5
1	114.252.249.20	15821850	台风大魔王	498	2015-09-24 20:14:26	2015-09-24 20:22:44	5
1	60.191.238.52	5591	借我玩一天	717	2015-09-24 20:10:51	2015-09-24 20:22:48	5
1	112.101.123.173	mwwwwwwwww	青衫水墨	365	2015-09-24 20:16:51	2015-09-24 20:22:56	5
1	101.69.179.132	8516123	刚子	313	2015-09-24 20:17:48	2015-09-24 20:23:01	5
1	1.58.16.123	wangye	王野	1868	2015-09-24 19:52:00	2015-09-24 20:23:09	5
1	223.245.175.98	333	花满楼	1579	2015-09-24 19:57:32	2015-09-24 20:23:52	5
1	114.254.255.191	hahaying	鹰哥	213	2015-09-24 20:20:33	2015-09-24 20:24:06	5
1	60.223.121.179	qq34220788	风骚的球儿	7951	2015-09-24 18:13:06	2015-09-24 20:25:37	5
1	101.69.179.132	8516123	刚子	139	2015-09-24 20:23:41	2015-09-24 20:26:00	5
1	222.88.94.251	susu8	小伙	342	2015-09-24 20:20:32	2015-09-24 20:26:15	5
1	119.53.111.247	0517	隔壁老王	6063	2015-09-24 18:45:20	2015-09-24 20:26:24	5
1	60.223.121.179	qq34220788	风骚的球儿	91	2015-09-24 20:26:10	2015-09-24 20:27:41	5
1	1.58.16.123	wangye	王野	235	2015-09-24 20:23:49	2015-09-24 20:27:45	5
1	122.226.240.202	5591	借我玩一天	294	2015-09-24 20:22:54	2015-09-24 20:27:49	5
1	27.16.139.188	qq6732710	疯狂的熊猫	25106	2015-09-24 13:29:26	2015-09-24 20:27:53	5
1	223.245.175.98	333	花满楼	249	2015-09-24 20:23:59	2015-09-24 20:28:08	5
1	222.88.94.250	2431737	萌小希	433	2015-09-24 20:20:58	2015-09-24 20:28:11	5
1	27.16.139.188	qq6732710	疯狂的熊猫	16	2015-09-24 20:27:59	2015-09-24 20:28:15	5
1	60.223.121.179	qq34220788	风骚的球儿	42	2015-09-24 20:27:47	2015-09-24 20:28:29	5
1	114.254.255.191	hahaying	鹰哥	267	2015-09-24 20:24:15	2015-09-24 20:28:43	5
