;物品类别	物品名称	Item.wil序号	出售价格	Deco.wil序号1	Deco.wil序号2	描述
0	伏魔令	1270	200000	100	100	强化必备
0	黑铁矿石	284	200000	100	100	锻造武器
0	僵尸精魂	252	200000	100	100	强化必备
0	盟重传送石	1010	100000	100	100	常用
0	钳虫精魂	1081	200000	100	100	强化必备
0	三倍经验卷轴	989	1000000	100	100	升级专用
0	尸王晶石	252	200000	100	100	强化必备
0	随机传送石	1025	100000	100	100	常用
0	沃玛号角	261	1000000	100	100	建立行会专用
0	修复神水	120	200000	100	100	可以修复100点持久
1	攻击神水	425	100000	100	100	药水
1	护身符(特大)	270	800000	100	100	道士专用
1	黄色药粉(特大)	250	800000	100	100	补给
1	灰色药粉(特大)	251	800000	100	100	补给
1	疾风药水	420	100000	100	100	药水
1	精神神水	421	100000	100	100	药水
1	魔力强化水	422	100000	100	100	药水
1	魔力神水	423	100000	100	100	药水
1	体力强化水	424	100000	100	100	药水
2	技巧项链	241	1000000	100	100	速度与激情
2	金条	117	1000000	100	100	土豪
2	金砖	121	5000000	100	100	土豪中的战斗机
2	聚灵珠(大)	820	50000	100	100	升级专用
2	千里传音(大)	1000	1000000	100	100	世界喊话
2	千里传音(小)	1000	500000	100	100	世界喊话
3	长空火舞包	1015	100000	100	100	好友
3	飞火流星包	1015	100000	100	100	好友
3	浪漫星雨包	1015	100000	100	100	好友
3	漂亮烟花	1015	200000	100	100	双击使用有几率进入烟花之地
3	绮梦幻想包	1015	100000	100	100	好友
3	庆典蛋糕	1001	3000000	100	100	好友
3	心心相印包	1015	100000	100	100	好友
4	红名清洗卡	1088	1000000	100	100	洗洗更健康
4	红色祝福油	1326	3000000	100	100	必加一点幸运
4	疗伤药包	1009	100000	100	100	这东西解渴
4	祝福罐	1174	2000000	100	100	你懂得
5	反璞归真	1013	800000	100	100	打回原形
5	个性发型	1013	800000	100	100	瞬间美丽
5	回城卷	402	5000	100	100	瞬间美丽
