;地图 x y 名称 范围 数量 时间 集中刷几率(0~100) 刷新模式(0~1) 集中点X 集中点Y
代码  x     y     名称          范围  数量  时间



xrlj1   35 35   稻草人   30   20    2
xrlj1   35 35   鹿       30   20    2
xrlj1   35 35   半兽人   30   20    2
xrlj2   35 35   稻草人   30   20    2
xrlj2   35 35   鹿       30   20    2
xrlj2   35 35   半兽人   30   20    2
xrlj3   35 35   稻草人   30   20    2
xrlj3   35 35   鹿       30   20    2
xrlj3   35 35   半兽人   30   20    2
xrlj4   35 35   稻草人   30   20    2
xrlj4   35 35   鹿       30   20    2
xrlj4   35 35   半兽人   30   20    2
xrlj5   35 35   稻草人   30   20    2
xrlj5   35 35   鹿       30   20    2
xrlj5   35 35   半兽人   30   20    2


;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙城

6	150	150	魔龙邪眼	250	20	15
6	150	150	魔龙邪眼	250	20	15
6	150	150	魔龙血蛙	250	20	15
6	150	150	魔龙血蛙	250	20	15
6	150	150	魔龙血蛙	250	20	10
6	150	150	魔龙刺蛙	250	15	10
6	150	150	魔龙刺蛙	250	15	10
6	150	150	魔龙刀兵	250	20	30
6	150	150	魔龙刀兵	250	20	30
6	150	150	魔龙射手	250	20	30
6	150	150	魔龙射手	250	20	30
6	150	150	魔龙破甲兵	250	20	30
6	150	150	魔龙破甲兵	250	20	30
;-------------------------------------------------------------大爆
6	150	150	魔龙邪眼0	250	2	10
6	150	150	魔龙血蛙0	250	2	10
6	150	150	魔龙刺蛙0	250	2	10
6	150	150	魔龙射手0	250	2	10
6	150	150	魔龙刀兵0	250	2	10
6	150	150	魔龙破甲兵0	250	2	30

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙东郊
61	100	300	魔龙邪眼	150	30	15
61	100	300	魔龙邪眼	150	30	15
61	100	400	魔龙邪眼	50	30	15
61	100	300	魔龙血蛙	150	20	10
61	100	300	魔龙血蛙	150	20	10
61	100	300	魔龙刺蛙	150	15	10
61	100	300	魔龙刺蛙	150	15	10
61	100	300	魔龙射手	150	10	10
61	100	300	魔龙刀兵	150	10	30
61	100	300	魔龙破甲兵	150	10	30
61	100	300	魔龙射手	150	10	30
61	100	300	魔龙刀兵	150	10	30
61	100	300	魔龙破甲兵	150	10	30
;-------------------------------------------------------------大爆
61	100	300	魔龙邪眼0	150	1	10
61	100	300	魔龙血蛙0	150	1	10
61	100	300	魔龙刺蛙0	150	1	10
61	100	300	魔龙射手0	150	1	10
61	100	300	魔龙刀兵0	150	1	10
61	100	300	魔龙破甲兵0	150	1	10

;〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓魔龙西郊
62	300	150	魔龙邪眼	150	30	15
62	300	150	魔龙邪眼	150	30	15
62	300	150	魔龙邪眼	50	30	15
62	300	150	魔龙血蛙	150	20	10
62	300	150	魔龙血蛙	100	20	10
62	300	150	魔龙刺蛙	150	15	10
62	300	150	魔龙刺蛙	100	15	10
62	300	150	魔龙射手	150	10	30
