时间:2018-08-19 00:31:12  句柄:20    角色:一二一      地图:T232  级别:45     事件:一二一  策略超速使用 - [麻痹]
时间:2018-08-19 01:00:15  句柄:18    角色:彪哥        地图:D2079 级别:47     事件:彪哥  策略超速使用 - [麻痹]
时间:2018-08-19 01:38:16  句柄:7     角色:无法无天    地图:D71602 级别:47     事件:无法无天  策略超速使用 - [麻痹]
时间:2018-08-19 07:46:34  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 07:46:47  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 07:47:20  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 07:51:42  句柄:8     角色:小可爱      地图:D2079 级别:48     事件:小可爱  策略超速使用 - [麻痹]
时间:2018-08-19 07:57:59  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:00:04  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:03:18  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 08:07:06  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 08:07:25  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 08:08:10  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:12:42  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:13:01  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:14:12  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:15:27  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:16:05  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:17:52  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:18:50  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:20:50  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:22:23  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:22:39  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:23:37  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:23:52  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 08:24:02  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:24:38  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:25:22  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:26:01  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:29:00  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:36:10  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:37:45  句柄:17    角色:打宝专用    地图:H007  级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-19 08:37:47  句柄:22    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-19 08:39:40  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:41:55  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:47:12  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:48:52  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:50:58  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:51:18  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:51:46  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:52:09  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:53:41  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:55:20  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 08:55:35  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-19 08:55:44  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:00:14  句柄:14    角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-19 09:02:08  句柄:21    角色:等待开区    地图:D5074 级别:45     事件:等待开区  策略超速使用 - [麻痹]
