时间:2018-08-20 05:43:24  句柄:73    角色:老子在床上曰 地图:D2001 级别:42     事件:老子在床上曰  策略超速使用 - [麻痹]
时间:2018-08-20 07:33:54  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:36:20  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 07:36:47  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 07:38:50  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:39:12  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:40:00  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:40:06  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 07:41:28  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 07:41:45  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:42:36  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:44:12  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:44:56  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 07:45:21  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:46:04  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:46:11  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:46:53  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 07:47:03  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:47:43  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:48:41  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:50:02  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:51:49  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 07:56:35  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 07:56:57  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 07:59:32  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:00:42  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:01:00  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:01:59  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:02:32  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:02:50  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:03:07  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:03:13  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:03:48  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:04:16  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:04:50  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:06:13  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:10:26  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:11:22  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:17:57  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:18:22  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:19:44  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:20:00  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:20:28  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:20:43  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:23:05  句柄:14    角色:神仙        地图:H007  级别:44     事件:神仙  策略超速使用 - [麻痹]
时间:2018-08-20 08:23:12  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:29:31  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:29:54  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:31:01  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:33:55  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:34:11  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:34:27  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:37:21  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:37:39  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:38:30  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:39:41  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:40:58  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:41:18  句柄:8     角色:打宝专用    地图:D5074 级别:44     事件:打宝专用  策略超速使用 - [麻痹]
时间:2018-08-20 08:44:08  句柄:10    角色:等待开区    地图:H008  级别:45     事件:等待开区  策略超速使用 - [麻痹]
时间:2018-08-20 08:48:53  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:53:46  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
时间:2018-08-20 08:58:08  句柄:1     角色:火神        地图:D5072 级别:44     事件:火神  策略超速使用 - [麻痹]
