ha9	[800]	0  黑暗魔王 *          黑暗魔王
sgjd	[800]	0  上古圣兽 *          上古圣兽
fmd	[800]	0  魔界天珠 *          魔界天珠
ymgy	[800]	0  幽冥统领 *          幽冥统领
smzy	[800]	0  黑暗魔王(精英) *          黑暗魔王(精英)
sgmj    [800]	0  上古圣兽(精英) *          上古圣兽(精英)
fmsd    [800]	0  魔界天珠(精英) *          魔界天珠(精英)
ymgm    [800]	0  幽冥统领(精英) *          幽冥统领(精英)
srbl    [800]	0  福利大魔王 *          福利大魔王
srbl    [800]	0  聚宝天珠皇 *          聚宝天珠皇


xsdld   [005]   0       魔龙教主            *	   鞭尸检测
xsdld   [005]   0       暗之魔龙教主        *	   鞭尸检测
xsdld   [005]   0       魔龙教主1            *	   鞭尸检测

srbl   [005]   0       魔龙教主            *	   鞭尸检测
srbl   [005]   0       魔龙教主1            *	   鞭尸检测
srbl   [005]   0       暗之魔龙教主        *	   鞭尸检测
srbl   [005]   0       暗之魔龙教主1        *	   鞭尸检测
srbl   [005]   0       魔影巨人            *	   鞭尸检测
srbl   [005]   0       魔影巨人1            *	   鞭尸检测

smzy   [005]   0       魔龙教主            *	   鞭尸检测
smzy   [005]   0       魔龙教主1            *	   鞭尸检测
smzy   [005]   0       暗之魔龙教主        *	   鞭尸检测
smzy   [005]   0       暗之魔龙教主1        *	   鞭尸检测
smzy   [005]   0       魔影巨人            *	   鞭尸检测
smzy   [005]   0       魔影巨人1            *	   鞭尸检测

sgmj   [005]   0       魔龙教主            *	   鞭尸检测
sgmj   [005]   0       魔龙教主1            *	   鞭尸检测
sgmj   [005]   0       暗之魔龙教主        *	   鞭尸检测
sgmj   [005]   0       暗之魔龙教主1        *	   鞭尸检测
sgmj   [005]   0       魔影巨人            *	   鞭尸检测
sgmj   [005]   0       魔影巨人1            *	   鞭尸检测

sgjd   [005]   0       魔龙教主            *	   鞭尸检测
sgjd   [005]   0       魔龙教主1            *	   鞭尸检测
sgjd   [005]   0       暗之魔龙教主        *	   鞭尸检测
sgjd   [005]   0       暗之魔龙教主1        *	   鞭尸检测
sgjd   [005]   0       魔影巨人            *	   鞭尸检测
sgjd   [005]   0       魔影巨人1            *	   鞭尸检测

fmsd   [005]   0       魔龙教主            *	   鞭尸检测
fmsd   [005]   0       魔龙教主1            *	   鞭尸检测
fmsd   [005]   0       暗之魔龙教主        *	   鞭尸检测
fmsd   [005]   0       暗之魔龙教主1        *	   鞭尸检测
fmsd   [005]   0       魔影巨人            *	   鞭尸检测
fmsd   [005]   0       魔影巨人1            *	   鞭尸检测

fmd   [005]   0       魔龙教主            *	   鞭尸检测
fmd   [005]   0       魔龙教主1            *	   鞭尸检测
fmd   [005]   0       暗之魔龙教主        *	   鞭尸检测
fmd   [005]   0       暗之魔龙教主1        *	   鞭尸检测
fmd   [005]   0       魔影巨人            *	   鞭尸检测
fmd   [005]   0       魔影巨人1            *	   鞭尸检测

ymgm   [005]   0       魔龙教主            *	   鞭尸检测
ymgm   [005]   0       魔龙教主1            *	   鞭尸检测
ymgm   [005]   0       暗之魔龙教主        *	   鞭尸检测
ymgm   [005]   0       暗之魔龙教主1        *	   鞭尸检测
ymgm   [005]   0       魔影巨人            *	   鞭尸检测
ymgm   [005]   0       魔影巨人1            *	   鞭尸检测

ymgy   [005]   0       魔龙教主            *	   鞭尸检测
ymgy   [005]   0       魔龙教主1            *	   鞭尸检测
ymgy   [005]   0       暗之魔龙教主        *	   鞭尸检测
ymgy   [005]   0       暗之魔龙教主1        *	   鞭尸检测
ymgy   [005]   0       魔影巨人            *	   鞭尸检测
ymgy   [005]   0       魔影巨人1            *	   鞭尸检测

ssgj   [005]   0       魔龙教主            *	   鞭尸检测
ssgj   [005]   0       魔龙教主1            *	   鞭尸检测
ssgj   [005]   0       暗之魔龙教主        *	   鞭尸检测
ssgj   [005]   0       暗之魔龙教主1        *	   鞭尸检测
ssgj   [005]   0       魔影巨人            *	   鞭尸检测
ssgj   [005]   0       魔影巨人1            *	   鞭尸检测

aq01   [005]   0       魔龙教主            *	   鞭尸检测
aq01   [005]   0       魔龙教主1            *	   鞭尸检测
aq01   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq01   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq01   [005]   0       魔影巨人            *	   鞭尸检测
aq01   [005]   0       魔影巨人1            *	   鞭尸检测

aq02   [005]   0       魔龙教主            *	   鞭尸检测
aq02   [005]   0       魔龙教主1            *	   鞭尸检测
aq02   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq02   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq02   [005]   0       魔影巨人            *	   鞭尸检测
aq02   [005]   0       魔影巨人1            *	   鞭尸检测

aq03   [005]   0       魔龙教主            *	   鞭尸检测
aq03   [005]   0       魔龙教主1            *	   鞭尸检测
aq03   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq03   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq03   [005]   0       魔影巨人            *	   鞭尸检测
aq03   [005]   0       魔影巨人1            *	   鞭尸检测

aq04   [005]   0       魔龙教主            *	   鞭尸检测
aq04   [005]   0       魔龙教主1            *	   鞭尸检测
aq04   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq04   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq04   [005]   0       魔影巨人            *	   鞭尸检测
aq04   [005]   0       魔影巨人1            *	   鞭尸检测

aq05   [005]   0       魔龙教主            *	   鞭尸检测
aq05   [005]   0       魔龙教主1            *	   鞭尸检测
aq05   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq05   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq05   [005]   0       魔影巨人            *	   鞭尸检测
aq05   [005]   0       魔影巨人1            *	   鞭尸检测

aq06   [005]   0       魔龙教主            *	   鞭尸检测
aq06   [005]   0       魔龙教主1            *	   鞭尸检测
aq06   [005]   0       暗之魔龙教主        *	   鞭尸检测
aq06   [005]   0       暗之魔龙教主1        *	   鞭尸检测
aq06   [005]   0       魔影巨人            *	   鞭尸检测
aq06   [005]   0       魔影巨人1            *	   鞭尸检测

