;代码	X	Y	名称	范围	数量	时间


xsdld  110  91    尸王   100     30    10
xsdld  110  91    变异骷髅0 100   30    10
xsdld  110  91    神兽0 100   20    30
xsdld  110  91    神兽2 100   30    10
xsdld  110  91    白野猪 100   50    30
xsdld  110  91      魔龙战将0  50   2  30
xsdld  110  91      魔龙战将  50   2   10
xsdld  110  91    魔龙刀兵  150  30   10
xsdld  110  91    魔龙巨蛾  150  10   30
xsdld  110  91     魔龙力士  150  10   30
xsdld  110  91      双头血魔  50  2   5
xsdld  110  91      暗之牛魔王  50  2   5
xsdld  110  91      沃玛教主  50  1   5
xsdld  110  91      双头金刚  50  2   5
xsdld  110  91   暗之沃玛教主      150   1  30
xsdld  110  91   暗之骷髅精灵      150   1  30
xsdld  110  91   暗之双头金刚      150   1  30
xsdld  110  91   暗之双头血魔      150   1  30
xsdld  110  91   暗之黄泉教主      150   1  30
xsdld  110  91   暗之虹魔教主      150   1  30
xsdld  110  91   祖玛教主   	  140   1    30
xsdld  110  91  沃玛教主   	  140   1    30
xsdld  110  91   沃玛教主   	  140   1    30
xsdld  110  91   黄泉教主  	  100   1    30
xsdld  110  91   虹魔教主  	  100   1    30
xsdld  110  91   暗之魔龙教主  	  100   1    60
xsdld  110  91   魔龙教主  	  100   1    30
xsdld  110  91   魔龙教主1  	  100   1    60
xsdld  110  91  祖玛雕像3    100    20   30
xsdld  110  91 祖玛卫士3    100    20   30
xsdld  110  91  祖玛弓箭手3   100    20   30
xsdld  110  91   牛魔将军  100    20   30
xsdld  110  91  牛魔祭司  100    20   30  
xsdld  110  91   牛魔法师  100    30   10
 
srbl    241  200     聚宝天珠皇  0     1     180
srbl    241  200     福利大魔王  100     1     180
srbl	241  200     魅影刀客    	100    1	60
srbl	241  200    魅影鬼手     	100    1	60
srbl	241  200    魔龙力士  	 100    10    20
srbl	241  200   魔龙战将  	  100   10    20
srbl	241  200    魔龙巨蛾 	 100   10    20
srbl	241  200 	暗之魔龙力士	100	5	20
srbl	241  200 	暗之魔龙战将	100	5	20
srbl	241  200 	暗之魔龙巨蛾	100	5	20
srbl	241  200   暗之沃玛教主      100  3    30
srbl	241  200  暗之骷髅精灵      100   3    30
srbl	241  200   暗之双头金刚      100   3    30
srbl	241  200   暗之双头血魔      100   3    30
srbl	241  200     暗之黄泉教主      100  3    30
srbl	241  200    暗之虹魔教主      100   3    30
srbl	109  137     魅影刀客1   	100    2	60
srbl	109  137   魅影鬼手1     	100    2	60
srbl	109  137       星辰冰龙1     	100    1	120
srbl	109  137      星辰玉龙1          100    1	120
srbl	109  137      星辰金龙1     	100    1	120
srbl	109  137      星辰火龙1     	0     1  	120
srbl	109  137      魔龙教主1          100    3       60
srbl	109  137      魔龙教主           100    6       30
srbl	109  137      暗之魔龙教主       100    2       30
srbl	109  137      暗之魔龙教主1      100    3       60
srbl	109  137      魔影巨人1          100    2       30
srbl	109  137     魔影巨人           100    2       60
srbl	109  137   白野猪     	        100   20	20
srbl	109  137   牛魔祭祀     	100   20	20
srbl	109  137   牛魔将军    	        100   20	20
srbl	109  137   祖玛卫士3    	100   20	20
srbl	109  137   祖玛雕像3     	100   20	20
